No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
5,25.07,0.12,1.030,RR Lyrae,2016MNRAS.455.2163O,"32, BI",,,,
3,24.95,0.10,0.977,CMD,2014ApJ...795...54C,,,,,
2,24.85,,0.933,CMD,2014ApJ...789..147W,,,,,
9,25.02,0.08,1.010,TRGB,2013AJ....146...86T,,,,74.40,
8,24.93,0.14,0.968,TRGB,2009AJ....138..332J,I,,,,
10,25.15,0.08,1.070,TRGB,2005MNRAS.356..979M,,,,,
6,24.86,0.10,0.940,TRGB,2002A&A...389..812K,,,,,
7,24.89,0.11,0.950,TRGB,1999AJ....118..853L,I,,,,
12,27.81,,3.650,Brightest Stars,1997AstL...23..656G,LF,,,,
14,28.10,0.40,4.170,Brightest Stars,1997AstL...23..656G,3B + 3R mean,,,,
11,27.81,,3.650,Brightest Stars,1997AstL...23..644G,Blue,,,,
13,28.10,,4.170,Brightest Stars,1997AstL...23..644G,Red + Blue,,,,
15,28.20,,4.370,Brightest Stars,1997AstL...23..644G,Red,,,,
1,24.60,,0.800,CMD,1994AJ....107.1328v,,,,,
4,28.00,,3.980,CMD,1993AJ....105..894G,,,,,
16,24.23,0.80,0.700,Tully est,1988NBGC.C....0000T,,,,75.00,
