No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
79,24.27,0.05,0.714,TRGB,2017ApJ...845..146H,I,,,,
67,24.30,0.07,0.724,RR Lyrae,2017ApJ...845..146H,"85, V",,,,
88,24.39,0.03,0.755,TRGB,2017ApJ...834...78M,I,,,,
17,24.26,0.07,0.711,Cepheids,2016AJ....151...88B,"23, JHKs, GAL+LMC PL",,,,
11,24.22,0.07,0.698,Cepheids,2016AJ....151...88B,"23, JHKs, LMC PL",,,,
8,24.20,0.10,0.692,Cepheids,2016AJ....151...88B,"23, JHKs, GAL PL",,,,
55,24.37,0.08,0.750,Miras,2015MNRAS.452..910M,,,,,
53,24.28,,0.718,CMD,2014ApJ...789..147W,,,,,
54,24.48,,0.787,CMD,2014ApJ...789..147W,,,,,
5,24.10,0.14,0.661,Cepheids,2014A&A...572A..64M,"VI(W), inner, syst. +/- 0.40 mag",,,,
15,24.24,0.06,0.705,Cepheids,2014A&A...572A..64M,"3.6 micron, outer, syst. +/- 0.23 mag",,,,
2,23.99,0.10,0.628,Cepheids,2014A&A...572A..64M,"3.6 micron, inner, syst. +/- 0.15 mag",,,,
31,24.38,0.02,0.752,Cepheids,2014A&A...572A..64M,"VI(W), outermost, syst. +/- 0.13 mag",,,,
29,24.32,0.04,0.731,Cepheids,2014A&A...572A..64M,"VI(W), outer, syst. +/- 0.23 mag",,,,
25,24.31,0.07,0.728,Cepheids,2014A&A...572A..64M,"3.6 micron, outermost, syst. +/- 0.30 mag",,,,
63,24.19,0.09,0.689,RR Lyrae,2013MNRAS.435.3206D,V,,,,
92,24.44,0.09,0.773,TRGB,2013MNRAS.432.3047B,Rizzi et al. 2007 TRGB,,,,18.52
95,24.49,0.09,0.791,TRGB,2013MNRAS.432.3047B,Cassini & Salaris 2013 TRGB,,,,18.52
22,24.29,0.03,0.721,Cepheids,2013ApJ...773..106S,Syst. +/- 0.03 mag,,,,18.48
100,24.36,0.05,0.740,Statistical,2013AJ....146...86T,Mean of Cepheids and TRGB,,,74.40,
76,24.24,0.08,0.705,TRGB,2011AJ....141..194G,K,,,,
85,24.36,0.08,0.745,TRGB,2011AJ....141..194G,J,,,,
30,24.36,0.02,0.745,Cepheids,2011A&A...531A.134T,,,,,18.52
10,24.22,0.13,0.698,Cepheids,2010ApJ...715..277B,"VI(W), PL 2",,,,
39,24.43,0.13,0.769,Cepheids,2010ApJ...715..277B,"VI(W), PL 1",,,,
51,24.67,0.27,0.859,Cepheids,2010ApJ...715..277B,"BV(W), PL 1",,,,
19,24.28,0.22,0.718,Cepheids,2010ApJ...715..277B,"JK(W), PL 2",,,,
72,24.44,0.10,0.773,RR Lyrae,2010ApJ...712.1259B,,,,,18.52
44,24.46,0.11,0.780,Cepheids,2010ApJ...712.1259B,"VI, PLC",,,,18.52
45,24.47,0.12,0.783,Cepheids,2010ApJ...712.1259B,"VI(W), FO Cepheids",,,,18.52
48,24.50,0.11,0.794,Cepheids,2010ApJ...712.1259B,"VI(W), F Cepheids",,,,18.52
74,24.47,0.12,0.783,RR Lyrae,2010ApJ...712.1259B,Z,,,,18.52
59,24.42,,0.767,Red Clump,2010AJ....140.1038P,"I, M RC(I) = -0.50 mag",,,,
56,24.07,,0.651,Red Clump,2010AJ....140.1038P,"V, M RC(V) = +0.73 mag",,,,
89,24.42,,0.766,TRGB,2010AJ....140.1038P,"I, M TRGB(I) = -4.05 mag",,,,
18,24.27,0.02,0.715,Cepheids,2009ApJ...695..996F,"5, BVRIJHK, 2 IRAC",,,,
87,24.38,0.07,0.752,TRGB,2009AJ....138..332J,I,,,,
69,24.35,,0.741,RR Lyrae,2008ApJ...679...52T,,,,,
86,24.37,0.05,0.748,TRGB,2007ApJ...661..815R,I,,,,
21,24.29,0.04,0.721,Cepheids,2006ApJ...642..216P,"39, JK",,,,
14,24.23,0.20,0.701,Cepheids,2006A&A...445..901A,MF91 PL,,,,
47,24.50,0.12,0.794,Cepheids,2006A&A...445..901A,Sandage & Tammann PL,,,,18.54
16,24.25,0.14,0.708,Cepheids,2004ApJ...608...42S,LMC VIHJK,,,,
82,24.31,0.06,0.728,TRGB,2004ApJ...608...42S,,,,,
52,24.25,0.03,0.708,CMD,2003ApJ...596..253S,,,,,
57,24.27,0.08,0.714,Red Clump,2003AJ....125.1261D,,,,,
32,24.38,0.08,0.752,Cepheids,2003AJ....125.1261D,,,,,
37,24.42,0.13,0.766,Cepheids,2003AJ....125.1261D,FO,,,,
36,24.42,0.12,0.766,Cepheids,2003AJ....125.1261D,FM,,,,
80,24.28,0.05,0.718,TRGB,2003AJ....125.1261D,,,,,
66,24.30,0.05,0.724,RR Lyrae,2003AJ....125.1261D,,,,,
96,24.53,0.10,0.805,TRGB,2002A&A...394...33T,,,,,
13,24.23,0.19,0.701,Cepheids,2002A&A...389...19P,MW GFG,,,,
9,24.20,0.20,0.692,Cepheids,2002A&A...389...19P,MW P02,,,,
6,24.19,0.11,0.689,Cepheids,2002A&A...389...19P,MW HIPP,,,,
12,24.23,0.19,0.701,Cepheids,2002A&A...383..398P,"12, VI",,,,
7,24.19,0.15,0.690,Cepheids,2001ApJ...553...47F,"25, BRI, KEY PROJECT",,,,
3,24.06,0.15,0.650,Cepheids,2001ApJ...553...47F,"9, VI, +Z, KEY PROJECT",,,,
83,24.32,0.09,0.731,TRGB,2001ApJ...550..554D,,,,,
28,24.31,0.06,0.730,Cepheids,2001ApJ...550..554D,,,,,
27,24.31,0.06,0.728,Cepheids,2001ApJ...550..554D,"2, VI +3m",,,,
58,24.30,0.09,0.724,Red Clump,2001ApJ...550..554D,,,,,
68,24.32,0.16,0.731,RR Lyrae,2001ApJ...550..554D,,,,,
43,24.45,0.15,0.776,Cepheids,2001ApJ...550..554D,"2, VI",,,,
42,24.44,0.13,0.773,Cepheids,2001ApJ...549..721M,"4, I",,,,
38,24.43,0.08,0.769,Cepheids,2001ApJ...549..721M,"4, H",,,,
49,24.53,0.13,0.805,Cepheids,2001ApJ...549..721M,"4, V",,,,
20,24.29,0.14,0.720,Cepheids,2001ApJ...548..564W,LMC W01,,,,
35,24.42,0.13,0.766,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
77,24.26,0.16,0.711,TRGB,2000ApJ...529..745F,HST KP Calibrated,,,,
46,24.49,,0.791,Cepheids,1999ApJ...522..250S,BVI,,,,
81,24.29,0.12,0.721,TRGB,1999AJ....118.1657C,,,,,
90,24.43,,0.769,TRGB,1998MNRAS.298..166S,DA90,,,,
71,24.41,,0.762,RR Lyrae,1998MNRAS.298..166S,,,,,
73,24.46,,0.780,RR Lyrae,1998MNRAS.298..166S,Fe/H = -1.5,,,,
94,24.47,,0.783,TRGB,1998MNRAS.298..166S,K97,,,,
93,24.45,,0.776,TRGB,1998MNRAS.298..166S,Yale,,,,
