No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
231,24.64,0.20,0.847,Red Clump,2018ApJ...853...29K,"M31 Northwest Stream 1, Syst. +/- 0.057 mag",,,,
281,24.36,0.04,0.745,TRGB,2018ApJ...853...29K,"M31 Off-Stream South, Syst. 0.033 mag",,,,
300,24.42,0.03,0.766,TRGB,2018ApJ...853...29K,"M31 Stream North, Syst.+/- 0.033 mag",,,,
230,24.63,0.19,0.843,Red Clump,2018ApJ...853...29K,"M31 Stream North, Syst.+/- 0.057 mag",,,,
229,24.62,0.19,0.839,Red Clump,2018ApJ...853...29K,"M31 Northwest Stream 2, Syst. +/-",,,,
228,24.59,0.18,0.828,Red Clump,2018ApJ...853...29K,"M31 Northwest Stream 3, Syst. +/-",,,,
227,24.58,0.19,0.824,Red Clump,2018ApJ...853...29K,"M31 Northwest Stream 4, Syst. +/-",,,,
223,24.29,0.21,0.721,Red Clump,2018ApJ...853...29K,"M31 Off-Stream South, Syst. 0.057mag",,,,
287,24.39,0.03,0.755,TRGB,2018ApJ...853...29K,"M31 Stream South, Syst. +/- 0.033 mag",,,,
108,24.39,,0.755,CMD,2018ApJ...853...29K,M31 Off-Stream South,,,,
207,24.77,,0.899,CMD,2018ApJ...853...29K,M31 Stream North,,,,
353,24.63,0.02,0.843,TRGB,2016MNRAS.458.3282C,"i, Subfield GSS9, Z correct",,,,
284,24.37,0.04,0.748,TRGB,2016MNRAS.458.3282C,"i, Subfield GSS8.5, Z correct",,,,
280,24.36,0.23,0.745,TRGB,2016MNRAS.458.3282C,"i, Subfield GSS7, Z correct",,,,
336,24.54,0.04,0.809,TRGB,2016MNRAS.458.3282C,"i, Subfield C1, Z correct",,,,
337,24.54,0.27,0.809,TRGB,2016MNRAS.458.3282C,"i, Subfield H1, Z correct",,,,
341,24.56,0.13,0.817,TRGB,2016MNRAS.458.3282C,"i, Subfield D4, Z correct",,,,
342,24.57,0.15,0.820,TRGB,2016MNRAS.458.3282C,"i, Subfield C3, Z correct",,,,
331,24.50,0.04,0.794,TRGB,2016MNRAS.458.3282C,"i, Subfield H3, Z correct",,,,
343,24.57,0.02,0.820,TRGB,2016MNRAS.458.3282C,"i, Subfield GSS5, Z correct",,,,
