No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
53,24.81,0.11,0.916,Miras,2017AJ....153..170Y,,,,,18.50
22,24.62,0.06,0.839,Cepheids,2016AJ....151...88B,"24, JHKs, GAL+LMC PL",,,,
20,24.61,0.06,0.836,Cepheids,2016AJ....151...88B,"24, JHKs, LMC PL",,,,
19,24.60,0.08,0.832,Cepheids,2016AJ....151...88B,"24, JHKs, GAL PL",,,,
64,24.36,0.09,0.745,RR Lyrae,2013MNRAS.435.3206D,V,,,,
21,24.62,0.07,0.839,Cepheids,2013ApJ...773...69G,"26, JK",,,,
120,24.79,0.05,0.910,Statistical,2013AJ....146...86T,Mean of Cepheids and TRGB,,,74.40,
77,24.57,0.05,0.820,TRGB,2012ApJ...758...11C,,,,,
46,24.69,0.09,0.867,CMD,2011MNRAS.410..504B,Field S2,,,,
47,24.72,0.09,0.879,CMD,2011MNRAS.410..504B,Field S1,,,,
36,24.77,0.04,0.899,Cepheids,2011ApJS..193...26P,"564, WVI",,,,
34,24.76,0.02,0.895,Cepheids,2011ApJS..193...26P,"564, WVI, Cleaned Sample",,,,
70,24.69,0.17,0.867,RR Lyrae,2011AJ....142..198P,,,,,
87,24.73,0.11,0.883,TRGB,2011A&A...533A..91G,"I, M33 center",,,,
89,24.75,0.11,0.891,TRGB,2011A&A...533A..91G,"I, field SE3b",,,,
90,24.77,0.13,0.899,TRGB,2010ApJ...724..799Y,I,,,,
65,24.52,0.11,0.802,RR Lyrae,2010ApJ...724..799Y,"65, RRab, Z",,,,
6,24.39,0.30,0.755,Cepheids,2010ApJ...715..277B,"BV(W), inner",,,,
7,24.41,0.27,0.762,Cepheids,2010ApJ...715..277B,"VI(W), inner",,,,
30,24.67,0.31,0.859,Cepheids,2010ApJ...715..277B,"BV(W), outer",,,,
29,24.65,0.19,0.851,Cepheids,2010ApJ...715..277B,"VI(W), outer",,,,
102,24.97,,0.986,TRGB,2010AJ....140.1038P,"I, M TRGB(I) = -4.05 mag",,,,
57,24.72,,0.877,Red Clump,2010AJ....140.1038P,"V, M RC(V) = +0.73 mag",,,,
63,24.92,,0.962,Red Clump,2010AJ....140.1038P,"I, M RC(I) = -0.50 mag",,,,
15,24.54,0.03,0.809,Cepheids,2009MNRAS.396.1287S,outer,,,,
14,24.53,0.11,0.805,Cepheids,2009MNRAS.396.1287S,Z,,,,
5,24.37,0.02,0.748,Cepheids,2009MNRAS.396.1287S,inner,,,,
98,24.84,0.10,0.929,TRGB,2009ApJ...704.1120U,,,,,
49,24.93,0.11,0.968,FGLR,2009ApJ...704.1120U,,,,,
96,24.82,0.10,0.920,TRGB,2009AJ....138..332J,I,,,,
130,24.73,0.35,0.883,Tully-Fisher,2009AJ....138..323T,,,,,
