No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
7,27.80,0.08,3.630,TRGB,2013AJ....146...86T,,,,74.40,
1,27.73,,3.520,CMD,2012ApJ...748...47M,,,,,
2,27.75,,3.550,CMD,2010ApJ...709..135W,,,,,
3,27.75,0.02,3.550,TRGB,2009ApJS..183...67D,I,,,,
5,27.76,0.02,3.570,TRGB,2009ApJS..183...67D,I,,,,
6,27.77,0.07,3.580,TRGB,2009AJ....138..332J,I,,,,
17,27.76,0.36,3.560,Tully-Fisher,2009AJ....138..323T,,,,,
4,27.76,0.23,3.560,TRGB,2003A&A...398..479K,I,,,,
8,28.01,,4.000,Brightest Stars,1997AstL...23..644G,Blue,,,,
12,28.87,,5.940,Brightest Stars,1997AstL...23..644G,Red,,,,
11,28.68,,5.450,Brightest Stars,1997AstL...23..644G,Red + Blue,,,,
10,28.36,,4.700,Brightest Stars,1991A&AS...91..503K,3R,,,,
9,28.18,,4.330,Brightest Stars,1991A&AS...91..503K,3B,,,,
19,26.63,0.80,2.100,Tully est,1988NBGC.C....0000T,B,,,75.00,
15,27.52,0.43,3.190,Tully-Fisher,1986A&A...156..157B,B,,,103.00,
14,27.52,0.44,3.190,Tully-Fisher,1985A&AS...59...43B,B,,,103.00,
16,27.75,0.40,3.550,Tully-Fisher,1985A&AS...59...43B,Mean of B mag and Diameter TF relation,,,103.00,
18,28.23,0.56,4.430,Tully-Fisher,1985A&AS...59...43B,Diameter,,,103.00,
13,27.52,,3.190,Tully-Fisher,1985A&A...153..125G,B,,,90.00,
