No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
32,24.94,0.03,0.973,TRGB,2017ApJ...834...78M,I,,,,
4,24.85,0.11,0.933,Cepheids,2016AJ....151...88B,"29, JHKs, GAL PL",,,,
5,24.88,0.08,0.946,Cepheids,2016AJ....151...88B,"29, JHKs, LMC PL",,,,
7,24.92,0.07,0.964,Cepheids,2016AJ....151...88B,"29, JHKs, GAL+LMC PL",,,,
20,24.89,,0.951,CMD,2014ApJ...789..147W,,,,,
19,24.89,,0.951,CMD,2014ApJ...789..147W,,,,,
44,24.92,0.05,0.960,Statistical,2013AJ....146...86T,Mean of Cepheids and TRGB,,,74.40,
28,24.82,0.10,0.920,TRGB,2012A&A...540A..49M,,,,,
39,25.12,0.08,1.060,TRGB,2011AJ....141..194G,K,,,,
40,25.14,0.09,1.070,TRGB,2011AJ....141..194G,J,,,,
2,24.81,0.04,0.916,Cepheids,2011A&A...531A.134T,,,,,18.52
6,24.90,0.18,0.955,Cepheids,2010ApJ...715..277B,JK(W),,,,
13,25.08,0.11,1.040,Cepheids,2010ApJ...715..277B,VI(W),,,,
33,24.95,0.09,0.977,TRGB,2009AJ....138..332J,I,,,,
22,24.99,0.10,0.995,FGLR,2008ApJ...684..118U,Flux-Weighted Grav.-Luminosity,,,,
12,25.01,0.04,1.010,Cepheids,2008ApJ...683..611G,V,,,,
10,24.92,0.04,0.966,Cepheids,2008ApJ...683..611G,"31, VIJK",,,,
31,24.93,0.04,0.968,TRGB,2007ApJ...661..815R,I,,,,
15,25.14,0.03,1.070,Cepheids,2007AJ....134..594P,"60, VI(W)",,,,
3,24.84,0.14,0.929,Cepheids,2007A&A...466..501V,4,,,,
30,24.85,0.08,0.932,TRGB,2005MNRAS.356..979M,,,,,
9,24.92,0.21,0.964,Cepheids,2004ApJ...608...42S,LMC VIHJK,,,,
25,24.77,0.09,0.899,TRGB,2004ApJ...608...42S,,,,,
42,24.77,,0.900,Brightest Stars,2003AJ....126.1326V,WLM 31,,,,
41,24.65,0.46,0.850,Brightest Stars,2003AJ....126.1326V,WLM 15,,,,
18,24.88,0.09,0.946,CMD,2000ApJ...531..804D,,,,,
29,24.84,0.12,0.929,TRGB,2000ApJ...529..745F,HST KP Calibrated,,,,
21,24.95,0.13,0.977,CMD,2000AJ....120..801R,,,,,
17,24.73,0.07,0.883,CMD,1999ApJ...521..577H,,,,,
35,24.97,,0.986,TRGB,1998MNRAS.298..166S,DA90,,,,
37,25.03,,1.010,TRGB,1998MNRAS.298..166S,Yale,,,,
38,25.08,,1.040,TRGB,1998MNRAS.298..166S,K97,,,,
34,24.97,,0.986,TRGB,1997MNRAS.289..406S,,,,,
36,24.99,,0.995,TRGB,1997MNRAS.289..406S,theory,,,,
8,24.92,,0.964,Cepheids,1997MNRAS.289..406S,,,,,
24,24.75,0.10,0.891,TRGB,1997AJ....114..147M,I,,,,
26,24.80,0.05,0.910,TRGB,1996ApJ...467L..13M,,,,,
27,24.81,0.10,0.916,TRGB,1993ApJ...417..553L,I,,,,
14,25.10,0.15,1.050,Cepheids,1991PASP..103..933M,I,,,,
16,25.15,,1.070,Cepheids,1988PASP..100..935S,"Photographic, APPARENT BLUE m-M",,,,
45,25.00,0.80,1.000,Tully est,1988NBGC.C....0000T,B,,,75.00,
1,24.80,0.06,0.912,Cepheids,1987SAAOC..11..125W,"15, B, Photographic",,,,18.47
11,24.93,,0.968,Cepheids,1985AJ.....90.1464S,"15, B",,,,
43,25.54,,1.280,Brightest Stars,1982ApJ...256..339S,Photographic,,,,
23,27.90,0.42,3.800,PNLF,1981AJ.....86..185J,,,,,
